text,Predictions
"My wife and I were looking for a dinette table. We looked at many places and ended up at the RoomStore. We found a great table and decided to purchase the item. 

The salesman was nice and didn't provide too much pressure. 

There is a LARGE selection of items-couches, tables, chairs, dressers etc.

My problem was that we bought the table and had a deferred pickup due to moving into a new home several weeks down the road. I placed a small down payment to reserve my item. After several weeks, I contacted the RoomStore to pick up my item since I just moved into my new home. My item was not in stock and was told to call back later in the week. I called 4 days later and was informed the item was now available. 

Today, I went to pay the balance of my purchase and take home the table. Small problem, the table and chairs are not at this location.  I was given the choice to pick up the item at the distribution center 30 minutes away or wait until until Tuesday. I wish that during my several contacts during this process that someone would have told me that I wouldn't be able to pick up my item here or wait several other days. I was not happy! Now I have to go back once again to pick up the table and chairs.",4
"I could see myself giving the Tavern a single star or two, but let me explain. It has a front and back patio, complete with misters. There's a full bar with Blue Moon on tap. The large size costs $4 until 9, I think. 

The reason for 4 stars is that they're dog friendly; a bouncer explained to me how the owner loves canines so you'll see them around often. It gets a bit crazy on weekends. So usually if there's a long line, I'll keep walking.",4
"We really enjoyed lunch today.  Very good service and many choices. Coming early in the day - when the buffet is at its freshest  is usually our m.o. ... especially ones with so many choices and slower turnover. That said, we came late afternoon, and were not disappointed. The stew-ish type dishes were flavorful, all the spices bold. I would like to try their fresh dishes from the menu some day - like the Tandoori chicken. I agree about the noodle dish. I got a little bit on my plate, but it just didn't feel right. Everything else was pretty authentic, based on my experiences. Our first time with the Chaat bar... I really don't get it.  But, we will definitely be back for the lentils, masalas, curry, rices, paneers. It was worth the $30 for a Sunday Brunch for two with coupon. tax and tip. And a free glass of champagne!",4
"Yes, it's on the Northwest side and its tucked into a non-descript strip mall better known for being the home of Padre Murphy's Sports Bar, but don't let appearances fool you, this is a great gym. The gym offers a large selection of cardio equipment, weight machines, free weights, and group exercise classes. It also has a pool, hot tub, sauna, and steam room. But will really makes this gym special is its kids care facility. It has video games, pop-a-shot, and a giant climbing structure that my kids like so much, they are begging to go to the gym... and it's a lot easier to get a workout done when the kids are excited about going!

Definitely a great find and well worth the drive to the Northwest side.",5
"We stopped by and rode the train, which was a good history tour. We discovered the history of gold mining in the area and some of the local lore regarding the Superstition Mountains and the Lost Dutchman Gold Mine.  I would like to come back and spend more time exploring the restored ghost town.  The train ride was a bit expensive for what it was although I enjoyed the Hurry-Up Henry the conductor.",4
Fine for an overnight at the airport. Not a vacation destination. Needs a full restoration. Breakfast included.,3
"When I first stepped into Smeeks, my entire face lit up, I was figuratively (and quite literally) ""a kid in a candy store."" 

It's is a true one of a kind store, it's so entertaining to just walk around in. The decor is fun, the inventory is even more fun, and the photo booth is by far the most fun!

The walls are full of great novelty items, such as the Smoking Baby (that actually smokes!), Yodeling Pickle (that actually yodels!), and Fake Cigarettes that are surprisingly realistic! Plus, Smeeks has a lot of really cool, and delicious candy. My personal favorite was the Fat Pig organic chocolate bar (with Puntini coming in a close second). 

Smeeks is most definitely my new favorite store in CenPho!",4
"Damn good pizza! A little spendy (hence why I didnt give them 5 stars) for what you get but regardless, the pizza is pretty damn good. The wings are decent, I think there baked instead of fried and the sauce seems a little weak. They often have a 25 dollar special which includes 20 wings and a large pizza or some kind of 2 pizza wing combo for around 40 dollars. I'd recommend this spot to anyone looking for some family fun times surrounded with fun people and good food.",4
"All I'm saying is they need to do a better job at hiring their staff. The girl that helped us out last time was on something pretty heavy. It was a school night, and we had just finished up dinner next door at Windsor. We all wanted to get something sweet, but the girl working there was so blitzed out of her mind on something. She was barely able to interact with us. Within the first 2 minutes she must have asked us 5 times how we were doing. She never once made eye contact.  I'm not exaggerating by saying she looked pretty filthy, and was really rude to boot. Maybe that's just how the poor girl is, but damn, you think they could do a better job hiring people to compliment the charm of a family oriented cutesy sweet spot. 

She turned us off so bad, that no one in the party decided to order anything.

I give it 3 stars because I've been before, and thought their stuff  was good, not great. Churn is pretty damn adorable & local, so they get extra love for that. So, for now, until something better comes along it will just have to do.",4
"HORRIBLE service - did nothing to correct our experience.

On July 7, 2011, my date  and I arrived around 6:30 pm, well dressed and ready to enjoy a celebratory dinner without any financial limitations. We would have easily spent $250+.

Instead, after an hour of being seated  to review our menus we were never offered more than a cocktail.

Tables around us were receiving quality attention by other servers...complete with the run down of the specials, house favorites, answering questions, etc. We, on the other hand, were lucky to have our make server look at us, much less take us to the next step our level in our dining experience.

When the table behind us, seated a good 15 mins after us, received bread before we were, my date and I decided that was our tipping point and would not stay any longer.

When our server came to ask if we were ready to order we informed him  we would not be staying for dinner  and would like the bill for the cocktail.

Never once did the server apologize, offer what he could do to make things right, etc. 

Needless to say, we were stunned. The hostess thanked us for dining on our way out...again, we both gritted our teeth with frustration. However, later we discovered that after an hour of sitting in the dining room, we were there long enough to enjoy a meal. It's unfortunate we never got the opportunity to, however.

What did go right was...we were promptly seated and the cocktail server provided decent service.",4
Awesome food. Highly recommend. Had gyros platter . Generous portions and excellent meat.  Check out their spices and other food stuff. Got couscous very cheap.,5
"My sister recently took her '98 VW New Beetle to First Class Auto in Scottsdale, AZ for an overheating issue.  I'm normally the one who does the maintenance on the vehicle but I was ~600 miles away.  She described the symptoms as follows: overheating light came on while she was stuck in construction traffic and went back off once she was moving again.  I immediately suggested that the radiator fans may not be coming on for some reason.  Since I wasn't around to look at it, she took it to First Class Auto.

She relayed the symptoms to the guys at First Class and also SPECIFICALLY requested they check  radiator fan functionality.

They told her the water pump was cracked and leaking, needed a new thermostat and also replace the timing belt and serpentine belt while they were in there (water pump is driven by the timing belt on this engine--2.0L 8V 4 cyl AEG code).  Well, a) I personally replaced the timing belt, water pump and serpentine belt about 10,000 miles ago as preventative maintenance.  What's more is the car hasn't lost any coolant since the job.  So the water pump being cracked is highly unlikely!  I did not replace the thermostat, though.  Once she called me to tell me this, I told her to decline the work and either take it somewhere else or wait for me to make a trip out.

I had a job to do that brought me almost half way to the Phoenix area so I decided I would make the trip the rest of the way to have a look for myself yesterday.  FIRST thing I did was check the radiator fans.  I turned on the AC and the fans didn't come on at all.  I pop the cover off the strip fuse panel that resides on top of the battery and found a melted 30 AMP fuse.  Guess what that fuse is for?  The RADIATOR FANS!  Imagine that.  Being a car that lived most of its life in Michigan, some of the fuses and the fuse panel itself had become corroded and caused the one fuse and part of the fuse panel to melt.  The coolant level was exactly at the max level, right where it was after I did the maintenance on it 10,000 miles ago, not to mention I checked it before her recent trip to Scottsdale (didn't have to add anything.  The car doesn't leak a drop of coolant).

Local dealer had a new fuse panel in stock, I swapped it out and replaced all 3 of the 30 amp blade fuses as they were all corroded pretty badly.  The larger strip fuses were still decent.  The radiator fans now work as normal and the car does not overheat.  The hose coming off the thermostat also becomes pressurized and hot at the correct temperature as well, so that's definitely not a problem!  Fans also come on automatically once the coolant temp hits 99 deg Celsius like they're supposed to.  Problem solved!

I drove down to First Class Auto today to give them a chance to explain/defend themselves, but there was only one guy working in the shop who she didn't recognize and no one at the counter.  What great customer service!

So she COULD have spent the quoted $800 and STILL had the same problem!  She just got dinged for a ~$40 diagnostic fee... for an incorrect diagnosis.",1
"Cool place but don't try to arrange a special event. The proprietor was arragont, unflexible and unethical when I held my friend's bachelorette party at The Duce. Be warned!",5
"Stopped in with my two yr old granddaughter today after going to the children's museum, got some raised eyebrows when the cool people  saw the kid but whatever I had to have one of there dirty chai's. Good as usual and the kiddo had a cupcake she thoroughly enjoyed on the drive home.",4
"Not bad, but not my first choice for the area. The staff are friendly and the food is good, but it just feels too much like a man's club. 
That being said, it is a great place for guys to go for dinner who are really looking for dinner. I think I need more... of something.",4
"Well, our initial plan was to go to Tuck Shop as I've been wanting to try it out. Unfortunately two ladies got there 1 sec before us and got the last table, the waiting area was packed with a group just hangin' and they had a 16 ppl reservation for later. There had sitting available right away at the bar but I'm pregnant and my back is killing me so bar stools were out of the question. They were very apologetic, which I thought was nice considering if wasn't their fault. I'm glad they're doing well. So I asked my husband if he wanted to try District and off we went. Actually, I made a reservation in case something happened and well, we ended up there.

Nice and spacious, not crowded at all.  They were part of AZ restaurant week and we ordered from that menu.

Shrimp sliders- I loved them! They should have a big version of it!
Duck quesadilla- Very good as well, but I'm partial to anything with goat cheese.

We both got the country chicken steak and it was really good. Mine came 1 med, 1 small pieces instead of a big one. The med piece was a bit dry and the breading was slightly burnt. The smaller one was perfect, juicy and crispy. The breading flavor was really good, slightly  spicy. The biscuits were awesome!! More of a cake-bread texture, light and fluffy and kind of sweet. Green beans were tasty as well.

Strawberry shortcake whoopie pies with lime basil sorbet ( I think it was a sorbet)- It was good, but not something I'll order again. The pie filling was too sweet, even the tartness of the sorbet couldn't help it.

Service was prompt, no hovering or having to wait for too long and our food came at a perfect pace.

Great dining experience and it made me forget about Tuck Shop. I still want to try it though.",4
"Why do people love this place?  MommaKat insisted on snacking here after a hard day of shopping, and I am not impressed.  AT ALL.

I had to coerce the boy behind the counter to make a salad my way, not the normal recipe.  It was like pulling teeth.. no seriously, no cheese.  and I want this dressing not that dressing.  

We stood in line for over 20 minutes at 4pm on a Saturday.  There were 2 couples in front of us.  LAME.

There were no forks, and the cashier forgot to give me my brownie, and i thought he was going to have a conniption when I asked twice.

Bathrooms were very nice and clean though.  Outdoor seating is very limited. 

Lame excuse for a panera-",3
"Wow! what a great meal last night. Kinda nervous to go back after being there a cpl of years ago for lunch and not loving it. BUTTTTT 2 words: Boiled Wontons. Order these and u will prob crave them for days. Spicy broth with boiled wontons in a light peanut sauce. I also ordered my fave, Peking duck. Very impressed with the quality and will be going back more. They do bring the food out superman fast so you kinda feel rushed but other than that, i see why they are sooo packed.",4
"Gary Betz, DDS with Southwest Dental Group in Phoenix (Ahwatukee)
Dr. Betz was nice, but the office...well it seemed to be the unfriendliest, coldest dental office I've ever been to (out of 6-7 in my lifetime). I used to complain that dentists' offices were too full of perky, chatty, overly friendly clones, but now I miss those offices. I saw nary a smile or warm greeting - businesslike efficiency seems to be the norm here. Dr. Betz was friendly and smiled, however. No complaints about him, other than my feeling that everything was rushed. We didn't go over my history or much of anything, but we'll see if the next visit is better. 
Postscript: After getting home from this appt. and reading the horror stories on various review sites relating to ALL Southwest Dental offices, I changed my designated dentist and went to Foothills Smiles instead. Please see my review of Foothills Smiles on Ray Rd.",5
Very relaxed atmosphere and employees are super nice. We typically go here late at night just in time to get in an order of chicken skewers(which are super yummy) and then have  few drinks. They have 2 pool tables and a shuffle board which always makes for a fun night.,4
"Great shopping. Even better people watching! Here you can shop stores ranging from H&M and Pac Sun, to Prada, Gucci, and Louis Vuitton. It's a pretty upscale mall, so most shoppers dress to impress, while other people recognize the fact that it is still JUST a mall, so they don't. That being said, you'll never feel out of place, no matter what you show up wearing. I love the valet area the most... it's littered with tricked out Bentleys, Lambos, Ferraris, and Aston Martins! I mean, I drive a REALLY nice car, and I would still be ashamed to valet it there!

My favorite store is probably Lush! I have a tendency to spend a lot of money in that store!! Sephora is a close second... I'm always on the lookout for my next favorite cologne!

Fashion Square also boasts some pretty good dining as well! Modern Steak, albeit very pricey serves up a damn good slab of steak. On my next visit I'd like to try the Kobe beef hot dog!! Z Tejas, Kona Grill, and the Yard House all offer great happy hour and reverse happy hour deals on food and beverages!

All in all, this mall is impeccably clean, very inviting, and fun to shop!",5
"This place screams, ""NO""!  

Indoor seating?  No.  I ate outside in the heat.  

Water?  No.  I asked for a cup of water with my meal and was told they only have bottled water and soda for sale.  

Straws?  No.  I walked to Safeway to get a gatorade and they don't even have a straw for me to use.  

Can I use the Now Groupon for a 14"" pizza?  No.  Only good for the 12"".  The groupon wasn't clear and the cashier didn't tell me that until after I ordered and bought the Groupon, which I told him about when I walked in the door.  

To add insult to injury, all toppings cost extra.  some are $1.90 each.  Plan to spend a lot of money and be underwhelmed with mediocre pizza if you don't head the warnings posted here.",1
"I can say that I used to love the place. Not so much any longer. 

Went over there this past Sunday at 7pm. Crowded, but still room to sit 6 of us. Here are a few simple notes to sum up the evening.

Waitress was on something. She was walking, but out of it. Forgot our order twice, and both times could not remember even taking them. Very bizarre. 
Girl next table fell over and out of her chair. No one really even seemed to notice, maybe that happens often here now. 
Place looks tired, worn out, especially the fabric on the chairs and booths outside. If you squint, you can see the old Vig, when it seemed spotless, and shiny. Now a bit tattered, along with the staff. 

If you are over 28, then I would have to say you might feel old in here. Reminds me of a spring break crowd being filmed by an MTV crew in Cabo. Very young, very drunk.",4
"Not authentic, but tasty in its own way.

I go here for happy hour.
I really like the viva las vegas roll.
The crab cakes are of good value.
Fried calamari is a bit bland but worth the volume (big)

Off the happy hr menu, my fav is the scallop dynamite roll.
either you love it or hate it. It took me a couple tries to appreciate it.


the desert roll (bananas fried and topped with fruits, w/ a hint of white chocolate chip) was surprisingly good.

Walking around the mall after dinner is pretty relaxing.

Do not get the tempura icecream here.
It was nasty.",4
"In terms of Mexican joints this place is the best.  With the outdoor atmosphere, tacky decor and authentic food, it just doesn't get any better.  The other locations are just as good.  The staff is usually pretty cool too, although one time we waited a VERY long time to get served at the Scottsdale location.",4
"Being that not many places were open on New Years Day, I decided to cruise around and see what was open.  Being that the bookstore wasnt quite open yet and had a horrendous line, I drove around a little bit to see if I could grab a cup of coffee to kill some time.

I pulled into the parking lot because theres several stores located in this strip mall, and have shopped at a few stores here before.  I found this coffee shop smashed inbetween other stores.  Its a very small shop, with extremely limited seating.  I will say I liked it here, and I enjoyed my experience for a lot of reasons.  Thier prices are cheap as all get out, which is great!  I got a 12 ounce Mocha for $3.24.  Awesome!  Service here was amazing and friendly, and I will gladly return in the future.

So why 3 stars?  there were a whopping 2 tables to sit at inside, and thats kind of a problem.  I also asked the girl about the internet, and she said the signal was in and out, and should be fixed in a few days after the holiday.  For me, a coffee shop is a place that I like to park at for an hour, plug in my computer, surf the net, and drink coffee.  I dont like sitting outside because A) I have no plug and my battery dies after an hour, and B) in the summer Im not sitting in the heat.  So, even though I would return for the prices and service, I wouldnt recomend this place for anyone who plans on staying for more then 5 minutes.",4
Outside atmosphere was really nice. This was my first time there and I enjoyed it. Our food was great. I had a salad and my friend had the filet which looked excellent. It was more pricey than I expected though.,4
"Family business bagel shops are my favorite.  I found this place through Groupon and decided to check it out.  The name itself intrigued me as Lox means salmon fillet that is cured.  I didn't go with salmon, but I got a honey wheat bagel with veggie lite cream cheese.  The cream cheese was freshly made with carrots, garlic, and celery.  It had a light taste to go with a healthy and hearty sized bagel.  My friends got croissants with cheese which tasted delicious as well.  The prices are very reasonable here and you can order bagels by the dozen.",4
Because sometimes you just want to flip the bird at calorie counting and healthy living.  This valley landmark is the place for satisfying that once in awhile sinful urge to screw up your carefully laid out dietary plans.,5
"After eating here I was actually pissed off that I didn't know about it before. The portions of sashimi are amazingly large. That doesn't mean crap if the quality is not there, but fortunately for Sakana, it's there. They even have house specials (like salmon smoked on the premises). AWESOME! My only complaint is the lack of fresh wasabi (they have pickled or the powdered stuff). 

For the area, this should be 5 stars. I just can't compare it to Kiji in SF or Blue Ribbon in NYC, which are my 5 star benchmarks.",4
"They served us stale rice.  Average main dishes, not as flavorful.  Not enough meat in the lamb dishes.  Overpriced.",4
"Went Saturday and got there just after opened at 11:00am as suggested by other yelpers. Glad we did as filled up quickly. Rate 4.5 stars as I'm a big fan of pub grub and atmosphere that goes with it. Would have been awesome if had a more brit/euro style feel by adding sports tele/bar music but that's being awfully picky, especially for such a small venue. Food was great, huge selection but could have been a tad warmer (my choice). Beer choices good, unfortunately out of my first pick but can't knock 'em too bad for that, and a bit warmer as well (again, my choice). Wait staff very friendly and efficient. Didn't have any unusual wait for service considering crowd. Prices I thought were reasonable, and we left full and satisfied. Definitely will be back again.",4
"I tried the shrimp and chips and they were tasty.  The shrimp was a little salty, but with the dipping sauce they tasted fine.  I liked the ""chips"" a lot.  After reading the other review I'm nervous to try the fish and chips.",4
I love Jimmy Johns!,5
"AZ 88 is a great date location.  The atmosphere is excellent - always an artistic display, usually great music.  If my parents ever make it out here from Wisconsin, I'm definitely taking them to AZ 88.  The view of the Scottsdale mall is really cool, and the proximity to a number of the ""old"" Old Town bars is really convenient.  The food is reasonably priced, with most sandwiches and dishes right around $10.  They have a good sized bar selection, with some really interesting imported beers.  I would absolutely recommend the AZ 88 sandwich if you enjoy buffalo sauce, and it's really hard for me to not order the little crackers with onions and bacon on them (even despite disliking bacon!).",4
"New and big yes... but not my favorite spring training park.

5 stars for being big and roomy and also lots of grass in the outfield

2 stars for being almost like a major league park. Feels like you are attending a MLB regular season game. They lost out on the small spring training feel and intimacy.

0 stars for being the only cactus league park I visited this spring not allowing you to bring in food like candy or peanuts or sunflower seeds. You realize why when you see the pricey beer and food vendors inside.",4
"Always love the ALofts
If you've stayed at one, they're pretty much the same
Rooms were clean and comfortable.
There was plenty of room in the standard king room
Bathroom was nice, you don't have to deal with the miniature shampoos, they're in the wall mounted containers, which is nice.
Only thing missing is an iron and ironing board, but other than that, the room was perfect, especially if you like hip, modern decor, which I do.  Rooms are a notch above TheStandard in LA, but not quite as roomy.  The rest of the property was just OK, yes, they have a lounge, but need a restaurant.  This location also does not have a DJ as some of the other ALofts do.
All in all though, probably one of the best hotels to stay in while in the Phoenix area, especially for the price.  I heard from the bartender that the one in Tempe is more live than this one.",4
"DECEMBER 2012:They still have the ANGRY WHOPPER!!!!!
Best whopper EVER.
Mine goes no lettuce, heavy onion, heavy tomato, and BBQ sauce on the bottom bun.
It's THICK.

55 year anniversary --- second whopper 55 cents!
DEAL!!!

Really, have you ever had a BAD whopper? :)",5
"Stopped in for some macaroons and coffee, the food and coffee were decent. The place itself was kinda dirty, stains on the floor, saw a couple of flies, and sat in an uneven chair.",2
"First, and most importantly, every person I've met at QC Vet Clinic has been super!  They are caring and wonderful with my dogs.  They are never too busy to smile and give great service when I come through the door.  They have even taken time to share stories and pictures of their own pets.

Second, they understand that some people must take a fiscally conservative approach with the care of their pets.  They discussed all options thoroughly with me and I performed the care that was needed a little at a time -- as it was needed.  This was important to me since many vets that we've visited in the past have handed us an estimate for hundreds or thousands of dollars and wouldn't budge -- insisting that we HAD to do ALL the work listed.  At QC Vet Clinic, I didn't feel like I was judged for that decision.

Unfortunately, we had a small mistake that I discussed with the vet.  She listened and gave appropriate feedback to my concerns.  This is really the only thing that is preventing a 5 star rating.  Overall they are still the best vet I've visited and I will continue to put my pets lives in their very capable hands.

BTW, we had to have a pet put down because he was ill. The team at QC Vet Clinic was absolutely the best!  They were so empathetic and even sent us a sympathy card with a little surprise inside... I won't give it away, but it was so very special to my family.  It's the little things in life that fill our hearts...thanks QC Vet Clinic!",5
"I'm giving Bobby Q an extra star in this update to my previous review, because although it has its share of hits and misses, it is, in fact, as good as it gets in Phoenix for great barbecue. I love barbecue. It is a hobby of mine. When I get stuck on something and want to know what it should look and taste like, I go to Bobby Q and am almost never disappointed. Most recently, this happened with beef brisket. I'm going to upload a picture I took of Bobby Q's brisket because seriously, if you look at it and don't want to immediately die from desire, then you just don't like barbecue. If I had anything bad at all to say about Bobby Q, it would be that sometimes their meats can be slightly overdone but this is not the norm. Their quality control, considering how much food they must serve to keep up with the demand, is astounding.  Their prices are too high, but of course, you're paying for the almost Disney-esque atmosphere. Their sauce is absolutely delicious (although it should be noted: they don't understand what ""spicy"" means). All in all I really can't say enough good things about this place. Go look at my brisket photo. Seriously.",5
"I've only been to the bar here. They make amazing mojitos with an array of different fruits. I told the bartender to surprise me when I ordered my drink, and it was amazing. She put a mixture of fruit along with the mint and it was perfectly mixed. I also had their spicy shrimp appetizer which I didn't really care for. So many other places make a similar dish, but much better. They also serve really good rolls with butter that come out nice and warm. The texture of the rolls are a little unexpected. I think they use tapioca flour as their base. I will definitely be back to enjoy their main dining cuisine.",4
"Another 5 star review. I saw Beauty and the Beast with my little niece last night and she couldn't stop talking about it. 
(It was her reward for having good grades) 
I know I'm supposed to be the reviewing the theater, but I can't bring myself to rate them lower than 5. It was such a good show that even though there were a few minor issues at the theater,  they still deserve 5 stars. The auditorium is starting to show its age and hopefully they get the funding to make improvements. (Also some lady with a big head sat in front of us and my little niece couldn't see, so I changed seats with her.)  No big deal. 
Other than that the staff were very professional and helpful as always. 
Thank you again to yelp, Lindsey and to Gammage for giving us complimentary tickets. My little niece and I appreciates it and we enjoyed the show. :)",4
"When I'm casual but want to feel NYC I go to Christopher's.  We go here for a special occasion dinner or on the fly happy hour...which is the best HH food in town!  Let me repeat that - best in town!!!  

Hamburger with truffle fries, brick oven pizza or a perfect salmon salad plus a beer or glass of wine for about $10/person. Can't beat it!  Sitting at the open kitchen makes me appreciate the setup and organization required to run a restaurant as well as the chef's tatts!?  If you dont want the blaring heat of the brick oven, don't sit at the corner next to it...Phoenix is HOT enough in the summer, so cool off and let someone else do the cooking!",4
